MS,MS Name,CCI,Ver,Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,52000000,52000000,104000000,50%
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,135000000,135000000,270000000,50%
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,205000000,205000000,410000000,50%
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,6448374,4298916,10747290,60%
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,14697349,9798233,24495582,60%
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,4,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,2642139,1761426,4403565,60%
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,5,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,24781119,24781119,49562238,50%
AT,Austria,2014AT05SFOP001,1.3,Employment Austria - ESF,ESF,5,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,1518372,1012248,2530620,60%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,114298533,116934590.61,231233123.61,49.43%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2A,Farm performance,3727951,3622048.77,7349999.77,50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2B,New farmers,319539,310461.56,630000.56,50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,4768148,4739860.54,9508008.54,50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2B,New farmers,204350,203137.86,407487.86,50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,15172645,15093876.74,30266521.74,50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2B,New farmers,4400764,4377917.45,8778681.45,50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,359820282,358619718.55,718440000.55,50.08%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,46704425,46532894.69,93237319.69,50.09%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_3A,Competitiveness of producers,532565,517435.94,1050000.94,50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_3B,Risk management,106513,103487.19,210000.19,50.72%
