nombre,institucion,cantidad,subvencion,municipio
CURSO DE CORTADORES DE JAMON,INSTITUCION FERIAL DE CALAMOCHA,"1.302,00€","976,50€",Calamocha
CREACIÓN DE BIBLIOTECA,AYUNTAMIENTO DE VILLARREAL DE HUERVA,"10.282,00€","1.288,54€",Villarreal de Huerva
CURSO DE COCINA CON EDICIÓN DE LIBRO DE RECETAS TRADICIONALES,AYUNTAMIENTO DE USED,"4.476,37€","3.357,28€",Used
ACCIONES DE SENSIBILIZACIÓN PARA LA MEJORA Y CONSERVACIÓN DEL ESPACIO URBANO DE DAROCA,AYUNTAMIENTO DE DAROCA,"17.561,35€","4.364,71€",Daroca
MONITOR DE TIEMPO LIBRE,COMARCA CAMPO DE DAROCA,"4.500,00€","3.299,86€",Daroca
REHABILITACION CENTRO JUVENIL,AYUNTAMIENTO DE VILLAR DEL SAZ,"15.842,50€","10.722,88€",Villar del Salz
ADQUISICON DE EQUIPAMIENTO EDIFICIO MUNICIPAL Y RESIDENCIA EN TORRIJO DEL CAMPO,AYUNTAMIENTO DE TORRIJO DEL CAMPO,"15.821,26€","10.722,88€",Torrijo del Campo
MEJORA CENTRO DE CONVIVENCIA PADRE SELLERAS,AYUNTAMIENTO DE TORRE LOS NEGROS,"61.503,44€","12.153,64€",Torre los Negros
MEJORA ENTORNO NATURALFUENTE DEL CHORRILLO,AYUNTAMIENTO DE TORRE LOS NEGROS,"13.000,00€","3.250,00€",Torre los Negros
DOTACION MOBILIRIARIO AREA RECCREATIVA Y ADQUISICON MAQUINA ARREGLO CAMINOS DE TORRELOSNEGROS,AYUNTAMIENTO DE TORRE LOS NEGROS,"15.771,47€","10.722,88€",Torre los Negros
ACONDICIONAMIENTO DE LOCAL PARA SALON SOCIAL,AYUNTAMIENTO DE TORRECILLA DEL REBOLLAR,"8.132,12€","2.033,04€",Torrecilla del Rebollar
III CURSO DE ARTE INDUSTRIA Y TERRITORIO,AYUNTAMIENTO DE OJOS NEGROS,"8.004,50€","1.372,57€",Ojos Negros
MEJORAS RECINTO AMURALLADO DE OJOS NEGROS,AYUNTAMIENTO DE OJOS NEGROS,"139.104,42€","29.633,55€",Ojos Negros
EMBARCACION DE LIMPIEZA PARA EL PARAJE DE LOS OJOS,AYUNTAMIENTO DE MONREAL DEL CAMPO,"8.800,00€","2.200,00€",Monreal del Campo
EQUIPAMIENTO Y MOBILIARIO DE GUARDERIA DE MONREAL,AYUNTAMIENTO DE MONREAL DEL CAMPO,"18.247,72€","1.702,18€",Monreal del Campo
ADECUACION INSTALACIONES PABELLON MULTIUSOS,AYUNTAMIENTO DE LAGUERUELA,"15.771,47€","10.722,88€",Lagueruela
EQUIPAMIENTO DE HOSTAL EN FUENTES CLARAS,AYUNTAMIENTO DE FUENTES CLARAS,"48.654,78€","9.730,96€",Fuentes Claras
II CICLO DE ORGANO DE LA COMARCA DEL JILOCA,COMARCA DEL JILOCA,"6.896,55€","1.000,00€",""
PRIMER CICLO CONCIERTOS DE VERANO EN LA COMARCA DEL JILOCA,COMARCA DEL JILOCA,"4.482,75€","1.080,00€",""
III CICLO DE CONCIERTOS DE ORGANO DEL JILOCA Y II CICLO DE CONCIERTOS DE VERANO DEL JILOCA,COMARCA DEL JILOCA,"9.913,79€","2.250,00€",""
CURSO DE DIRECTOR DE TIEMPO LIBRE,COMARCA DEL JILOCA,"7.440,00€","3.596,05€",Calamocha
REALIZACION DE DOS CURSOS DE FORMACION SOBRE MONITOR DE TIEMPO LIBRE,COMARCA DEL JILOCA,"12.340,00€","5.539,43€",Calamocha
III CICLO CONCIERTOS DE UNA TARDE DE VERANO,COMARCA DEL JILOCA,"12.200,00€","2.430,00€",Calamocha
AMPLIACIÓN Y MODERNIZACIÓN DE GESTORÍA,LOZANO SANTA EULALIA S.C,"33.666,97€","6.733,40€",Daroca
ADQUISICION DE HORNO PARA EMPRESA DE PANADERIA,MARTIN MAINAR S.C.,"68.547,55€","13.709,52€",Villadoz
ADQUISICIÓN DE MAQUINARIA EMPRESA CONSTRUCTORA,ALBLAMA S.C.,"10.316,88€","1.547,54€",Daroca
ADQUISICION DE MAQUINARIA EMPRESA COSNTRUCTORA DEL EL POYO DEL CID,"CONSTRUCCIONES ALOS, S.C","9.353,06€","1.402,96€",El Poyo del Cid
PANADERIA CAFETERIA EN OJOS NEGROS,HERMANAS RUBIO SANCHEZ S.C,"155.276,82€","38.336,98€",Ojos Negros
ADQUISICIÓN DE MAQUINARIA EMPRESA CONSTRUCTORA,"CONSTRUCCIONES JIMENEZ SAZ, S.C.","77.100,00€","9.000,00€",Calamocha
I JORNDA DAROCENSE DE RECREACIÓN HISTÓRICA DE LA EDAD MEDIA,ASOCIACION AMIGOS DEL MEDIEVO DAROCENSE,"25.464,00€","4.391,74€",Daroca
RECUPERACIÓN DE LA REPRESENTACIÓN DE LA MORICA ENCANTADA,ASOCIACION AMIGOS DEL MEDIEVO DAROCENSE,"23.871,17€","5.631,20€",Daroca
CELEBRACIÓN DEL FESTIVAL DE BIENVENIDA DE LAS GRULLAS NOVIEMBRE 2008,ASOCIACIÓN AMIGOS DE GALLOCANTA,"5.244,75€","1.221,72€",Gallocanta
CURSO DE SISTEMAS DE CALIDAD TURÍSTICA (CASTUR),ASOCIACIÓN DE VIVIENDAS DE TURISMO RURAL (CASATUR),"4.680,00€","3.041,57€",Daroca
PRUEBA REGIONAL DE ORIENTACION A PIE EN LUCO DE JILOCA,CLUB RAID AVENTURA CALAMOCHA,"5.500,00€","1.650,00€",Luco de Jiloca
REFORMA DE LAS INSTALACIONES DE LA RESIDENCIA DE MONREAL,FUNDACION RESIDENCIA DE ANCIANOS DE MONREAL DEL CAMPO,"21.688,20€","3.838,28€",Monreal del Campo
RECUPERACIÓN DE NUEVOS PERSONAJES CARNAVAL DE LUCO,ASOCIACIÓN CULTURAL ZARRAGONES,"4.406,20€","1.189,60€",Calamocha
INNOVACIÓN EN EL CARNAVAL DE LUCO 2010,ASOCIACIÓN CULTURAL ZARRAGONES,"9.280,00€","2.784,00€",Luco de Jiloca
PROMOCION COMERCIALIZACION DE TURISMO ORNITOLOGICO EN ARAGON,ADRI JILOCA - GALLOCANTA,"7.614,50€","6.887,42€",""
FUNCIONAMIENTO DE GRUPO AÑO 2008,ADRI JILOCA - GALLOCANTA,"41.469,40€","41.469,40€",""
FUNCIONAMIENTO DE GRUPO 2009,ADRI JILOCA - GALLOCANTA,"222.131,24€","127.617,97€",""
CURSO SOBRE GESTION Y POSICIONAMIENTO INICIAL,ADRI JILOCA - GALLOCANTA,"2.553,46€","2.373,46€",""
CURSO DE GESTION Y POSICIONAMIENTO WEB AVANZADO,ADRI JILOCA - GALLOCANTA,"2.624,43€","2.444,43€",""
CURSO DE PROTECCION DEL PATRIMONIO RURAL,ADRI JILOCA - GALLOCANTA,"5.557,56€","3.607,56€",""
1ª FASE DEL AULA MÓVIL DE INFORMATICA,ADRI JILOCA - GALLOCANTA,"15.598,27€","13.938,28€",""
CURSO DE ORNITOLOGIA PRACTICA DE LAS TIERRAS DEL JILOCA Y GALLOCANTA,ADRI JILOCA - GALLOCANTA,"9.684,90€","6.214,90€",""
I CONCURSO DE DIBUJO Y FOTAGRAFIA ME GUSTA MI PUEBLO,ADRI JILOCA - GALLOCANTA,"2.010,00€","1.997,39€",""
CURSO DE FICCION Y CINE,ADRI JILOCA - GALLOCANTA,"3.764,29€","3.624,29€",""
TALLER DE WEB AUTOGESTIONABLES CALAMOCHA,ADRI JILOCA - GALLOCANTA,"2.736,98€","2.566,98€",""
TALLER E CREACION Y MANTENIMIENTO DE SITIOS WEB ADMINISTRABLES EN MONREAL,ADRI JILOCA - GALLOCANTA,"3.275,37€","3.095,37€",""
